127.0.0.1 - - [13/Mar/2018:17:18:24 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /eStore/ HTTP/1.1" 200 10761
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /eStore/resoureces/css/main.css;jsessionid=5E2737C1DA3527BE9646826CE1228816%22 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /eStore/resoureces/css/carousel.css;jsessionid=5E2737C1DA3527BE9646826CE1228816%22 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /eStore/resources/js/bootstrap.min.js;jsessionid=5E2737C1DA3527BE9646826CE1228816 HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /eStore/resources/css/bootstrap.min.css;jsessionid=5E2737C1DA3527BE9646826CE1228816 HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:26 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [13/Mar/2018:17:18:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
