127.0.0.1 - - [26/Mar/2018:09:11:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /eStore/ HTTP/1.1" 200 10880
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /eStore/resources/css/main.css;jsessionid=BCC206811DD8F5E7A0694D50FB9FC5F3 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /eStore/resources/css/bootstrap.min.css;jsessionid=BCC206811DD8F5E7A0694D50FB9FC5F3 HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /eStore/resources/css/carousel.css;jsessionid=BCC206811DD8F5E7A0694D50FB9FC5F3 HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /eStore/resources/js/bootstrap.min.js;jsessionid=BCC206811DD8F5E7A0694D50FB9FC5F3 HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:11:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Mar/2018:09:23:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Mar/2018:10:42:17 +0900] "GET /eStore/admin;jsessionid=BCC206811DD8F5E7A0694D50FB9FC5F3 HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [26/Mar/2018:10:42:17 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:10:42:17 +0900] "GET /eStore/resources/css/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2018:10:42:19 +0900] "GET /eStore/admin/productInventory HTTP/1.1" 200 5697
